2025-10-01T20:47:34.618385404Z [inf]  2025-10-01 20:47:34,615 - KARMA-LiveBOT - INFO - 🎮 tikzzay is LIVE on Twitch!
2025-10-01T20:47:34.618393925Z [inf]  2025-10-01 20:47:34,616 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=True
2025-10-01T20:47:34.618400188Z [inf]  2025-10-01 20:47:34,616 - KARMA-LiveBOT - INFO - Creator TikZ aka. Zay on twitch: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T20:48:34.624890836Z [inf]  2025-10-01 20:48:31,742 - KARMA-LiveBOT - INFO - 🤖 Bot status updated: 🧟‍♀️🩵Watching TikTok: 2
2025-10-01T20:48:36.627939815Z [inf]  2025-10-01 20:48:36,624 - KARMA-LiveBOT - INFO - ✅ Refreshed creators cache: 2 creators
2025-10-01T20:48:36.627949188Z [inf]  2025-10-01 20:48:36,624 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T20:48:37.109448570Z [inf]  2025-10-01 20:48:37,103 - KARMA-LiveBOT - INFO - 🎮 tikzzay is LIVE on Twitch!
2025-10-01T20:48:37.109457998Z [inf]  2025-10-01 20:48:37,104 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=True
2025-10-01T20:48:37.109464285Z [inf]  2025-10-01 20:48:37,104 - KARMA-LiveBOT - INFO - Creator TikZ aka. Zay on twitch: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T20:49:37.117133662Z [inf]  2025-10-01 20:49:31,847 - KARMA-LiveBOT - INFO - 🎭 LIVE-ROLE-CLEANUP: Starting live role cleanup check...
